DECDEG_ENDLAT,DECDEG_ENDLON,BEGIN_GMT_TOWDATE,BOTSALIN,BOTTEMP,EXPCATCHNUM_log,EXPCATCHWT_log,SURFSALIN,SURFTEMP,curl_stress_curl,fsle_fsle_max,glorys_bottomT_surface,glorys_mlotst_surface,glorys_thetao_surface,glorys_thetao_surface_grad,glorys_so_surface
42.517392,-66.451588,05/07/2025 00:28:47,,,0.0,-2.3979400086720375,,,-7.599591283388446e-07,-0.10823237221299631,8.998749090752504,10.77673783779737,6.910230059003185,0.04627830667063014,31.898364415745995
42.517392,-66.451588,05/07/2025 00:28:47,,,,-0.6840296545430823,,,-7.599591283388446e-07,-0.10823237221299631,8.998749090752504,10.77673783779737,6.910230059003185,0.04627830667063014,31.898364415745995
42.517392,-66.451588,05/07/2025 00:28:47,,,1.2041199826559248,1.3051363189436394,,,-7.599591283388446e-07,-0.10823237221299631,8.998749090752504,10.77673783779737,6.910230059003185,0.04627830667063014,31.898364415745995
42.517392,-66.451588,05/07/2025 00:28:47,,,0.0,-0.2790142558462609,,,-7.599591283388446e-07,-0.10823237221299631,8.998749090752504,10.77673783779737,6.910230059003185,0.04627830667063014,31.898364415745995
42.517392,-66.451588,05/07/2025 00:28:47,,,0.0,0.1553360374650618,,,-7.599591283388446e-07,-0.10823237221299631,8.998749090752504,10.77673783779737,6.910230059003185,0.04627830667063014,31.898364415745995
42.46307,-66.787835,05/07/2025 10:32:05,,,0.9030899869919435,1.5992278627737964,,,-5.50541751941134e-07,-0.05661085913039983,8.545959074561484,10.706639553632964,7.534994356223217,0.005987491660031849,32.37447952732381
42.46307,-66.787835,05/07/2025 10:32:05,,,0.47712125471966244,-0.05650548409389743,,,-5.50541751941134e-07,-0.05661085913039983,8.545959074561484,10.706639553632964,7.534994356223217,0.005987491660031849,32.37447952732381
42.46307,-66.787835,05/07/2025 10:32:05,,,1.8573324964312685,-0.6840296545430823,,,-5.50541751941134e-07,-0.05661085913039983,8.545959074561484,10.706639553632964,7.534994356223217,0.005987491660031849,32.37447952732381
42.46307,-66.787835,05/07/2025 10:32:05,,,0.47712125471966244,-1.9208187539523751,,,-5.50541751941134e-07,-0.05661085913039983,8.545959074561484,10.706639553632964,7.534994356223217,0.005987491660031849,32.37447952732381
42.46307,-66.787835,05/07/2025 10:32:05,,,0.9030899869919435,0.11991541025799107,,,-5.50541751941134e-07,-0.05661085913039983,8.545959074561484,10.706639553632964,7.534994356223217,0.005987491660031849,32.37447952732381
42.46307,-66.787835,05/07/2025 10:32:05,,,0.0,0.7331972651065695,,,-5.50541751941134e-07,-0.05661085913039983,8.545959074561484,10.706639553632964,7.534994356223217,0.005987491660031849,32.37447952732381
42.46307,-66.787835,05/07/2025 10:32:05,,,0.3010299956639812,-0.26042765554990804,,,-5.50541751941134e-07,-0.05661085913039983,8.545959074561484,10.706639553632964,7.534994356223217,0.005987491660031849,32.37447952732381
42.46307,-66.787835,05/07/2025 10:32:05,,,0.0,-2.0457574905606752,,,-5.50541751941134e-07,-0.05661085913039983,8.545959074561484,10.706639553632964,7.534994356223217,0.005987491660031849,32.37447952732381
42.46307,-66.787835,05/07/2025 10:32:05,,,0.0,-1.136677139879544,,,-5.50541751941134e-07,-0.05661085913039983,8.545959074561484,10.706639553632964,7.534994356223217,0.005987491660031849,32.37447952732381
42.46307,-66.787835,05/07/2025 10:32:05,,,0.8450980400142568,0.21378329933530416,,,-5.50541751941134e-07,-0.05661085913039983,8.545959074561484,10.706639553632964,7.534994356223217,0.005987491660031849,32.37447952732381
42.46307,-66.787835,05/07/2025 10:32:05,,,0.0,-0.2790142558462609,,,-5.50541751941134e-07,-0.05661085913039983,8.545959074561484,10.706639553632964,7.534994356223217,0.005987491660031849,32.37447952732381
42.46307,-66.787835,05/07/2025 10:32:05,,,1.146128035678238,1.582744965691277,,,-5.50541751941134e-07,-0.05661085913039983,8.545959074561484,10.706639553632964,7.534994356223217,0.005987491660031849,32.37447952732381
42.46307,-66.787835,05/07/2025 10:32:05,,,2.164352855784437,-0.7166987712964503,,,-5.50541751941134e-07,-0.05661085913039983,8.545959074561484,10.706639553632964,7.534994356223217,0.005987491660031849,32.37447952732381
42.46307,-66.787835,05/07/2025 10:32:05,,,1.3222192947339193,1.349044286602036,,,-5.50541751941134e-07,-0.05661085913039983,8.545959074561484,10.706639553632964,7.534994356223217,0.005987491660031849,32.37447952732381
42.46307,-66.787835,05/07/2025 10:32:05,,,0.0,-1.537602002101044,,,-5.50541751941134e-07,-0.05661085913039983,8.545959074561484,10.706639553632964,7.534994356223217,0.005987491660031849,32.37447952732381
42.46307,-66.787835,05/07/2025 10:32:05,,,,-0.1624115617644887,,,-5.50541751941134e-07,-0.05661085913039983,8.545959074561484,10.706639553632964,7.534994356223217,0.005987491660031849,32.37447952732381
42.46307,-66.787835,05/07/2025 10:32:05,,,0.6020599913279624,0.7218106152125465,,,-5.50541751941134e-07,-0.05661085913039983,8.545959074561484,10.706639553632964,7.534994356223217,0.005987491660031849,32.37447952732381
42.46307,-66.787835,05/07/2025 10:32:05,,,0.8450980400142568,0.7944880466591696,,,-5.50541751941134e-07,-0.05661085913039983,8.545959074561484,10.706639553632964,7.534994356223217,0.005987491660031849,32.37447952732381
42.46307,-66.787835,05/07/2025 10:32:05,,,0.0,-2.5228787452803374,,,-5.50541751941134e-07,-0.05661085913039983,8.545959074561484,10.706639553632964,7.534994356223217,0.005987491660031849,32.37447952732381
42.357,-66.66644,05/06/2025 12:38:48,,,0.6020599913279624,1.3550682063488506,,,1.0325712044799813e-07,-0.18659411050654096,8.373071716754895,10.72452226150581,7.397921342715442,0.014350753335963385,32.391202647954024
42.357,-66.66644,05/06/2025 12:38:48,,,1.380211241711606,1.1981069988734014,,,1.0325712044799813e-07,-0.18659411050654096,8.373071716754895,10.72452226150581,7.397921342715442,0.014350753335963385,32.391202647954024
42.357,-66.66644,05/06/2025 12:38:48,,,0.3010299956639812,0.8119099804200989,,,1.0325712044799813e-07,-0.18659411050654096,8.373071716754895,10.72452226150581,7.397921342715442,0.014350753335963385,32.391202647954024
42.357,-66.66644,05/06/2025 12:38:48,,,0.3010299956639812,-0.3757179041643317,,,1.0325712044799813e-07,-0.18659411050654096,8.373071716754895,10.72452226150581,7.397921342715442,0.014350753335963385,32.391202647954024
42.357,-66.66644,05/06/2025 12:38:48,,,0.47712125471966244,-2.0,,,1.0325712044799813e-07,-0.18659411050654096,8.373071716754895,10.72452226150581,7.397921342715442,0.014350753335963385,32.391202647954024
