DECDEG_ENDLAT,DECDEG_ENDLON,BEGIN_GMT_TOWDATE,BOTSALIN,BOTTEMP,SURFSALIN,SURFTEMP,curl_stress_curl,fsle_fsle_max,glorys_bottomT,glorys_mlotst,glorys_so,glorys_thetao
37.931612,-74.214155,03/11/2025 00:00:33,,,,,-6.572075606458752e-07,,7.67169702500761,10.457522254974416,33.105803274118465,6.898100605974377
37.931612,-74.214155,03/11/2025 00:00:33,,,,,-6.572075606458752e-07,,7.67169702500761,10.457522254974416,33.105803274118465,6.898100605974377
37.931612,-74.214155,03/11/2025 00:00:33,,,,,-6.572075606458752e-07,,7.67169702500761,10.457522254974416,33.105803274118465,6.898100605974377
37.931612,-74.214155,03/11/2025 00:00:33,,,,,-6.572075606458752e-07,,7.67169702500761,10.457522254974416,33.105803274118465,6.898100605974377
37.931612,-74.214155,03/11/2025 00:00:33,,,,,-6.572075606458752e-07,,7.67169702500761,10.457522254974416,33.105803274118465,6.898100605974377
37.931612,-74.214155,03/11/2025 00:00:33,,,,,-6.572075606458752e-07,,7.67169702500761,10.457522254974416,33.105803274118465,6.898100605974377
37.931612,-74.214155,03/11/2025 00:00:33,,,,,-6.572075606458752e-07,,7.67169702500761,10.457522254974416,33.105803274118465,6.898100605974377
37.931612,-74.214155,03/11/2025 00:00:33,,,,,-6.572075606458752e-07,,7.67169702500761,10.457522254974416,33.105803274118465,6.898100605974377
37.931612,-74.214155,03/11/2025 00:00:33,,,,,-6.572075606458752e-07,,7.67169702500761,10.457522254974416,33.105803274118465,6.898100605974377
37.931612,-74.214155,03/11/2025 00:00:33,,,,,-6.572075606458752e-07,,7.67169702500761,10.457522254974416,33.105803274118465,6.898100605974377
37.815607,-74.30836,03/11/2025 04:58:59,,,,,-6.415218022908029e-07,,7.925777813158722,10.719604413074942,33.25166857713482,7.365465663116796
37.815607,-74.30836,03/11/2025 04:58:59,,,,,-6.415218022908029e-07,,7.925777813158722,10.719604413074942,33.25166857713482,7.365465663116796
37.815607,-74.30836,03/11/2025 04:58:59,,,,,-6.415218022908029e-07,,7.925777813158722,10.719604413074942,33.25166857713482,7.365465663116796
37.815607,-74.30836,03/11/2025 04:58:59,,,,,-6.415218022908029e-07,,7.925777813158722,10.719604413074942,33.25166857713482,7.365465663116796
37.815607,-74.30836,03/11/2025 04:58:59,,,,,-6.415218022908029e-07,,7.925777813158722,10.719604413074942,33.25166857713482,7.365465663116796
37.815607,-74.30836,03/11/2025 04:58:59,,,,,-6.415218022908029e-07,,7.925777813158722,10.719604413074942,33.25166857713482,7.365465663116796
37.815607,-74.30836,03/11/2025 04:58:59,,,,,-6.415218022908029e-07,,7.925777813158722,10.719604413074942,33.25166857713482,7.365465663116796
37.815607,-74.30836,03/11/2025 04:58:59,,,,,-6.415218022908029e-07,,7.925777813158722,10.719604413074942,33.25166857713482,7.365465663116796
37.815607,-74.30836,03/11/2025 04:58:59,,,,,-6.415218022908029e-07,,7.925777813158722,10.719604413074942,33.25166857713482,7.365465663116796
37.815607,-74.30836,03/11/2025 04:58:59,,,,,-6.415218022908029e-07,,7.925777813158722,10.719604413074942,33.25166857713482,7.365465663116796
37.815607,-74.30836,03/11/2025 04:58:59,,,,,-6.415218022908029e-07,,7.925777813158722,10.719604413074942,33.25166857713482,7.365465663116796
37.815607,-74.30836,03/11/2025 04:58:59,,,,,-6.415218022908029e-07,,7.925777813158722,10.719604413074942,33.25166857713482,7.365465663116796
37.815607,-74.30836,03/11/2025 04:58:59,,,,,-6.415218022908029e-07,,7.925777813158722,10.719604413074942,33.25166857713482,7.365465663116796
37.815607,-74.30836,03/11/2025 04:58:59,,,,,-6.415218022908029e-07,,7.925777813158722,10.719604413074942,33.25166857713482,7.365465663116796
37.815607,-74.30836,03/11/2025 04:58:59,,,,,-6.415218022908029e-07,,7.925777813158722,10.719604413074942,33.25166857713482,7.365465663116796
37.815607,-74.30836,03/11/2025 04:58:59,,,,,-6.415218022908029e-07,,7.925777813158722,10.719604413074942,33.25166857713482,7.365465663116796
37.815607,-74.30836,03/11/2025 04:58:59,,,,,-6.415218022908029e-07,,7.925777813158722,10.719604413074942,33.25166857713482,7.365465663116796
37.815607,-74.30836,03/11/2025 04:58:59,,,,,-6.415218022908029e-07,,7.925777813158722,10.719604413074942,33.25166857713482,7.365465663116796
38.33003,-74.045938,03/10/2025 15:52:22,,,,,-1.122059539620313e-06,,6.946278273400602,10.564780723381954,32.975419914149526,6.722542109130295
38.33003,-74.045938,03/10/2025 15:52:22,,,,,-1.122059539620313e-06,,6.946278273400602,10.564780723381954,32.975419914149526,6.722542109130295
38.33003,-74.045938,03/10/2025 15:52:22,,,,,-1.122059539620313e-06,,6.946278273400602,10.564780723381954,32.975419914149526,6.722542109130295
38.33003,-74.045938,03/10/2025 15:52:22,,,,,-1.122059539620313e-06,,6.946278273400602,10.564780723381954,32.975419914149526,6.722542109130295
38.33003,-74.045938,03/10/2025 15:52:22,,,,,-1.122059539620313e-06,,6.946278273400602,10.564780723381954,32.975419914149526,6.722542109130295
38.33003,-74.045938,03/10/2025 15:52:22,,,,,-1.122059539620313e-06,,6.946278273400602,10.564780723381954,32.975419914149526,6.722542109130295
38.33003,-74.045938,03/10/2025 15:52:22,,,,,-1.122059539620313e-06,,6.946278273400602,10.564780723381954,32.975419914149526,6.722542109130295
38.33003,-74.045938,03/10/2025 15:52:22,,,,,-1.122059539620313e-06,,6.946278273400602,10.564780723381954,32.975419914149526,6.722542109130295
38.33003,-74.045938,03/10/2025 15:52:22,,,,,-1.122059539620313e-06,,6.946278273400602,10.564780723381954,32.975419914149526,6.722542109130295
38.33003,-74.045938,03/10/2025 15:52:22,,,,,-1.122059539620313e-06,,6.946278273400602,10.564780723381954,32.975419914149526,6.722542109130295
38.33003,-74.045938,03/10/2025 15:52:22,,,,,-1.122059539620313e-06,,6.946278273400602,10.564780723381954,32.975419914149526,6.722542109130295
38.33003,-74.045938,03/10/2025 15:52:22,,,,,-1.122059539620313e-06,,6.946278273400602,10.564780723381954,32.975419914149526,6.722542109130295
38.33003,-74.045938,03/10/2025 15:52:22,,,,,-1.122059539620313e-06,,6.946278273400602,10.564780723381954,32.975419914149526,6.722542109130295
38.33003,-74.045938,03/10/2025 15:52:22,,,,,-1.122059539620313e-06,,6.946278273400602,10.564780723381954,32.975419914149526,6.722542109130295
38.33003,-74.045938,03/10/2025 15:52:22,,,,,-1.122059539620313e-06,,6.946278273400602,10.564780723381954,32.975419914149526,6.722542109130295
38.33003,-74.045938,03/10/2025 15:52:22,,,,,-1.122059539620313e-06,,6.946278273400602,10.564780723381954,32.975419914149526,6.722542109130295
38.33003,-74.045938,03/10/2025 15:52:22,,,,,-1.122059539620313e-06,,6.946278273400602,10.564780723381954,32.975419914149526,6.722542109130295
38.416693,-73.845227,03/10/2025 02:53:55,,,,,-1.8720792703122332e-07,,6.51083002122309,11.880406221220815,33.03150774748865,6.498336775054642
38.416693,-73.845227,03/10/2025 02:53:55,,,,,-1.8720792703122332e-07,,6.51083002122309,11.880406221220815,33.03150774748865,6.498336775054642
